"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL"
http://localhost/Hospital/wp-content/uploads/2018/12/683x455-04.jpg,683x455-04,,,,http://localhost/Hospital/wp-content/uploads/2018/12/683x455-04.jpg,
http://localhost/Hospital/wp-content/uploads/2018/12/683x455-01.jpg,683x455-01,,,,http://localhost/Hospital/wp-content/uploads/2018/12/683x455-01.jpg,
http://localhost/Hospital/wp-content/uploads/2018/12/683x455-03.jpg|http://localhost/Hospital/wp-content/uploads/2018/12/683x455-01.jpg,683x455-03|683x455-01,|,|,|,http://localhost/Hospital/wp-content/uploads/2018/12/683x455-03.jpg,
http://localhost/Hospital/wp-content/uploads/2018/12/jaflong-famousfor-net-600-o.jpg|http://localhost/Hospital/wp-content/uploads/2018/12/683x455-05.jpg,jaflong-famousfor-net-600-o|683x455-05,|,|,|,http://localhost/Hospital/wp-content/uploads/2018/12/jaflong-famousfor-net-600-o.jpg,
http://localhost/Hospital/wp-content/uploads/2018/12/683x455-05.jpg|http://localhost/Hospital/wp-content/uploads/2018/12/683x762-02.jpg,683x455-05|683x762-02,|,|,|,http://localhost/Hospital/wp-content/uploads/2018/12/683x455-05.jpg,
http://localhost/Hospital/wp-content/uploads/2018/12/683x455-01-1.jpg|http://localhost/Hospital/wp-content/uploads/2018/12/water-3097836_1920.jpg,683x455-01|water-3097836_1920,|,|,|,http://localhost/Hospital/wp-content/uploads/2018/12/683x455-01-1.jpg,
http://localhost/Hospital/wp-content/uploads/2018/12/683x455-03.jpg|http://localhost/Hospital/wp-content/uploads/2018/12/kaptai-lake-wikipedia-fahad-faisal-600-o.jpg|http://localhost/Hospital/wp-content/uploads/2018/12/123401278.jpg,683x455-03|kaptai-lake-wikipedia-fahad-faisal-600-o|123401278,||,||,||,http://localhost/Hospital/wp-content/uploads/2018/12/683x455-03.jpg,
http://localhost/Hospital/wp-content/uploads/2019/01/683x455-01.jpg,683x455-01,,,,http://localhost/Hospital/wp-content/uploads/2019/01/683x455-01.jpg,
http://localhost/Hospital/wp-content/uploads/2019/01/683x762-02-1.jpg|http://localhost/Hospital/wp-content/uploads/2019/01/slide2.jpg|http://localhost/Hospital/wp-content/uploads/2019/01/683x762-02.jpg,683x762-02|slide2|683x762-02,||,||,||,http://localhost/Hospital/wp-content/uploads/2019/01/683x762-02-1.jpg,
http://localhost/Hospital/wp-content/uploads/2019/01/683x455-05.jpg|http://localhost/Hospital/wp-content/uploads/2019/01/slide3.jpg,683x455-05|slide3,|,|,|,http://localhost/Hospital/wp-content/uploads/2019/01/683x455-05.jpg,
